ID,Name,Concepticon_ID,Concepticon_Gloss,Swahili_Gloss,Source_ID
1_bebecome,"be, become",1990,BECOME,(ku)wa,1
2_itch,itch,148,ITCH,(ku)wawa,2
3_singe,singe,3698,SINGE,(ku)unguza,3
4_count,count,1420,COUNT,(ku)hesabu,4
5_spotspeckle,"spot, speckle",519,SPOT,waa,5
6_raphiapalm,raphia palm,,,mwale,6
7_borassuspalm,borassus palm,,,mvumo,7
8_oilpalm,oil palm,,,mchikichi,8
9_datepalm,date palm,,,mtende,9
10_kindofpoisonoussnake,(kind of poisonous snake),,,mamba,10
11_tentpegs,tent pegs,,,mambo,11
12_peg,peg,361,PEG,chango,12
13_plotofground,plot of ground,,,kiwanja,13
14_courtyard,courtyard,4,COURTYARD,uwanja,14
15_yousg,you (sg.),1215,THOU,wewe,15
16_infrontof,in front of,1883,IN FRONT OF,mbele,16
17_breast,breast,1402,BREAST,maziwa (ya mke),17
18_udder,udder,154,UDDER,kiwele,18
19_milk,milk,635,MILK,maziwa (kwa kunywa),19
20_curdledmilk,curdled milk,,,(maziwa ya) robu,20
21_buttermilk,buttermilk,,,mtindi (ya maziwa),21
22_thigh,thigh,800,THIGH,kiweo (cha nyama),22
23_thigh,thigh,800,THIGH,paja (la mtu),23
24_rat,rat,1490,RAT,panya,24
25_verylargelongtailedrat,(very large long-tailed rat),,,buku,25
26_kindofrat,(kind of rat),,,ndezi,26
27_bad,bad,1292,BAD,-baya (kibaya),27
28_wicked,wicked,45,EVIL,-ovu,28
29_rotten,rotten,1728,ROTTEN,-bovu,29
30_boil,boil,2493,BOIL,(ku)chemsha,30
31_call,call,,,(ku)ita,31
32_chaseaway,chase (away),,,(ku)winga,32
33_hunt,hunt,1435,HUNT,(ku)winda,33
34_professionalhunter,(professional) hunter,1053,HUNTER,mwindaji,34
35_hunting,hunting,,,uwindo,35
36_soot,soot,830,SOOT,masizi,36
37_becomebadrotten,"become bad, rotten",1728,ROTTEN,(ku)oza,37
38_behighofmeat,be high (of meat),,,(ku)vunda,38
39_potmug,"pot, mug",,,mkebe,39
40_earthencookingpot,(earthen) cooking pot,,,chungu,40
41_potvessel,"pot, vessel",1462,POT,chombo,41
42_metalpot,metal pot,,,kopo,42
43_smallcookingpan,small cooking pan,,,kibia,43
44_earthenwarevesselforservingupfood,(earthenware vessel for serving up food) ,,,bia,44
45_excrementdung,"excrement, dung",2057,DUNG (ANIMAL FAECES),mavi,45
46_givebirthtoachild,give birth to a child,1195,GIVE BIRTH,(ku)zaa,46
47_hewhobegetsparent,he who begets (=parent),,,mzazi,47
48_offspring,offspring,1801,CHILD (DESCENDANT),mzao,48
49_dirt,dirt,25,DIRT,uchafu,49
50_filth,filth,,,taka,50
50a_filth,filth,,,takataka,50a
51_swell,swell,1573,SWELL,(ku)vimba,51
52_corpse,corpse,767,CORPSE,mzoga,52
53_dance,dance,1879,DANCE,(ku)cheza ngoma,53
54_they,they,817,THEY,wao,54
55_armhand,"arm, hand",2121,ARM OR HAND,mkono,55
56_getwet,get wet,2324,GET WET,(ku)lowa,56
57_pump,pump,,,bomba,57
58_brain,brain,1583,BRAIN,ubongo,58
59_mosquito,mosquito,1509,MOSQUITO,mbu,59
60_dog,dog,2009,DOG,mbwa,60
61_stone,stone,857,STONE,jiwe,61
62_spider,spider,843,SPIDER,buibui,62
63_goat,goat,1502,GOAT,mbuzi,63
64_openspace,open space,,,uga,64
65_mouldpottery,mould (pottery),289,MOLD,(ku)umba (vyungu),65
66_oilfromplants,oil (from plants),2555,OIL (FROM PLANTS),uto,66
67_seed,seed,714,SEED,mbegu,67
68_grain,grain,605,GRAIN,punje (ya mtama),68
69_soil,soil,1228,EARTH (SOIL),udongo,69
70_earthland,"earth, land",3603,EARTH OR LAND,ardhi,70
71_buffalo,buffalo,934,BUFFALO,nyati (=mbogo),71
72_mixputtogether,"mix, put together",2017,MIX,(ku)changanya,72
73_mixingredients,mix (ingredients),,,(ku)unga (e.g. chakula),73
74_stirmixbystirring,"stir, mix by stirring",696,STIR,(ku)vuruga,74
75_whitehair,white hair,,,mvi,75
76_rain,rain,658,RAIN (PRECIPITATION),mvua,76
77_breaksnap,"break, snap",2558,BREAK (CLEAVE),(ku)vunja,77
78_stirup,stir up,,,"(ku)vumbua, (ku)vumbilia",78
79_crumple,crumple,,,(ku)vungavunga,79
80_bunch,bunch,1966,BUNCH,vunga (la nywele),80
81_wrapup,wrap up,,,(ku)kunja,81
82_spark,spark,518,SPARK,cheche,82
83_choose,choose,1750,CHOOSE,(ku)chagua,83
84_searchfor,search for,1468,LOOK FOR,(ku)tafuta,84
85_searchdiligently,search diligently,,,(ku)chakura,85
86_thicket,thicket,,,chaka,86
87_bait,bait,2013,BAIT,chambo,87
88_brasswire,(brass) wire,2631,WIRE,masango,88
89_assemblecollect,"assemble, collect",,,(ku)changa,89
90_meet,meet,1831,MEET,(ku)kuta,90
91_begatheredbeassembled,"be gathered, be assembled",,,(ku)kusanyika,91
92_becomecheerful,become cheerful,,,(ku)changamka,92
93_bepleased,be pleased,,,(ku)pendezwa,93
94_laugh,laugh,1355,LAUGH,(ku)cheka,94
95_sand,sand,671,SAND,mchanga,95
96_leanbenddownslope,"lean, bend down, slope",,,(ku)inama,96
97_carryastrideonthehip,carry astride on the hip,,,(ku)eleka,97
98_cutlop,"cut, lop",1432,CUT,(ku)chenga,98
99_dryland,(dry) land,626,LAND,nchi (kavu),99
100_ourcountry,(our) country,1300,COUNTRY,nchi (yetu),100
101_belowunderneath,"below, underneath",1485,BELOW OR UNDER,chini,101
102_squirrel,squirrel,1628,SQUIRREL,kindi,102
103_lion,lion,1386,LION,simba,103
104_cat,cat,1208,CAT,paka,104
105_halfwildtomcat,half-wild tomcat,,,nunda (=shume la paka),105
106_cheetah,cheetah,3146,CHEETAH,duma,106
107_leopard,leopard,1139,LEOPARD,chui,107
